## Format mỗi dòng: word|difficulty|category
## difficulty: easy|medium|hard
## Dòng trống hoặc bắt đầu bằng # sẽ bị bỏ qua

battery|medium|object
beach|medium|place
blanket|medium|object
bottle|medium|object
bracelet|medium|object
bridge|medium|place
broccoli|medium|food
bubblegum|medium|object
bucket|medium|object
buggy|medium|vehicle
cactus|medium|nature
candle|medium|object
carrot|medium|food
caterpillar|medium|animal
cave|medium|place
cello|medium|object
cherry|medium|food
cheetah|medium|animal
chimney|medium|object
cobweb|medium|nature
coconut|medium|food
compass|medium|object
crab|medium|animal
crayon|medium|object
crow|medium|animal
crown|medium|object
cucumber|medium|food
cupcake|medium|food
curtain|medium|object
daisy|medium|nature
dancer|medium|job
dart|medium|object
desert|medium|place
diamond|medium|object
dolphin|medium|animal
doorbell|medium|object
dragonfly|medium|animal
drum|medium|object
eagle|medium|animal
easel|medium|object
eggplant|medium|food
engine|medium|object
eraser|medium|object
fence|medium|object
fishing|medium|sport
flute|medium|object
forest|medium|place
fork|medium|object
fridge|medium|object
frog|medium|animal
garlic|medium|food
gazelle|medium|animal
glacier|medium|nature
glove|medium|object
goblin|medium|character
goggles|medium|object
grape|medium|food
grater|medium|object
hammer|medium|object
hedgehog|medium|animal
helmet|medium|object
heron|medium|animal
hippo|medium|animal
honey|medium|food
iceberg|medium|nature
iguana|medium|animal
island|medium|place
jacket|medium|object
jeans|medium|object
jelly|medium|food
jellyfish|medium|animal
jug|medium|object
kangaroo|medium|animal
kettle|medium|object
kiwi|medium|food
kitten|medium|animal
ladder|medium|object
lantern|medium|object
lemon|medium|food
lettuce|medium|food
lighthouse|medium|object
lobster|medium|animal
magnet|medium|object
mailbox|medium|object
map|medium|object
marathon|medium|sport
mask|medium|object
melon|medium|food
mermaid|medium|character
microwave|medium|object
mirror|medium|object
mongoose|medium|animal
moose|medium|animal
mop|medium|object
mushroom|medium|food
napkin|medium|object
necklace|medium|object
noodle|medium|food
notebook|medium|object
octopus|medium|animal
onion|medium|food
ostrich|medium|animal
otter|medium|animal
owl|medium|animal
pancake|medium|food
panther|medium|animal
parrot|medium|animal
passport|medium|object
peacock|medium|animal
pen|medium|object
penguin|medium|animal
pepper|medium|food
piano|medium|object
pigeon|medium|animal
pineapple|medium|food
pirate|medium|character
plumber|medium|job
plum|medium|food
popcorn|medium|food
potato|medium|food
puzzle|medium|object
quail|medium|animal
queen|medium|character
raccoon|medium|animal
radish|medium|food
raincoat|medium|object
raspberry|medium|food
raven|medium|animal
ribbon|medium|object
river|medium|nature
rocket|medium|object
salmon|medium|animal
sandcastle|medium|object
scarf|medium|object
seal|medium|animal
seashell|medium|object
seesaw|medium|object
shampoo|medium|object
shovel|medium|object
skunk|medium|animal
snail|medium|animal
sneakers|medium|object
snowflake|medium|nature
spaceship|medium|object
spoon|medium|object
squid|medium|animal
stairs|medium|object
starfish|medium|animal
stew|medium|food
strawberry|medium|food
submarine|medium|vehicle
suitcase|medium|object
swan|medium|animal
sweater|medium|object
sword|medium|object
teapot|medium|object
tent|medium|object
thermometer|medium|object
tiger|medium|animal
towel|medium|object
tractor|medium|vehicle
trombone|medium|object
turtle|medium|animal
umbrella|medium|object
unicorn|medium|character
vampire|medium|character
velvet|medium|object
violin|medium|object
volcano|medium|nature
waffle|medium|food
wagon|medium|object
walrus|medium|animal
wasp|medium|animal
whale|medium|animal
whistle|medium|object
windmill|medium|object
witch|medium|character
yak|medium|animal
zebra|medium|animal

accordion|hard|object
alchemy|hard|concept
ambulance|hard|vehicle
anatomy|hard|concept
archaeology|hard|concept
asteroid|hard|space
avalanche|hard|nature
bacteria|hard|science
ballet|hard|art
barnacle|hard|animal
binoculars|hard|object
blacksmith|hard|job
boomerang|hard|object
bunker|hard|place
butterfly|hard|animal
calculator|hard|object
camouflage|hard|concept
carnation|hard|nature
cauldron|hard|object
centaur|hard|character
chalice|hard|object
checkmate|hard|game
chrysanthemum|hard|nature
cloak|hard|object
constellation|hard|space
coral|hard|nature
cottoncandy|hard|food
crater|hard|nature
dandelion|hard|nature
diamondback|hard|animal
diplomat|hard|job
dodo|hard|animal
dragon|hard|character
dromedary|hard|animal
dungeon|hard|place
echidna|hard|animal
elbow|hard|body
espresso|hard|food
falcon|hard|animal
fjord|hard|nature
flamingo|hard|animal
fossil|hard|object
gazebo|hard|object
gecko|hard|animal
geyser|hard|nature
gingerbread|hard|food
goblet|hard|object
gondola|hard|vehicle
griffin|hard|character
guacamole|hard|food
gull|hard|animal
gyroscope|hard|object
habitat|hard|nature
hallway|hard|place
harpoon|hard|object
hedge|hard|nature
hibiscus|hard|nature
hologram|hard|object
hydra|hard|character
incisor|hard|body
infantry|hard|job
ingredient|hard|food
iridium|hard|science
ivy|hard|nature
jackal|hard|animal
jackhammer|hard|object
javelin|hard|object
jigsaw|hard|object
jockey|hard|job
jouster|hard|job
judoka|hard|job
karma|hard|concept
kayak|hard|vehicle
kelp|hard|nature
kettleball|hard|object
keyhole|hard|object
kiwifruit|hard|food
labyrinth|hard|place
lagoon|hard|nature
lanternfish|hard|animal
lemur|hard|animal
lighthousekeeper|hard|job
lilac|hard|nature
locomotive|hard|vehicle
lynx|hard|animal
machete|hard|object
mandolin|hard|object
mantaray|hard|animal
maple|hard|nature
marlin|hard|animal
marshmallow|hard|food
marsupial|hard|animal
masquerade|hard|event
meadow|hard|nature
meteor|hard|space
minotaur|hard|character
mongoose|hard|animal
mongoose|hard|animal
monsoon|hard|nature
mosquito|hard|animal
mummy|hard|character
narwhal|hard|animal
nectarine|hard|food
obelisk|hard|object
octagon|hard|object
onyx|hard|object
oyster|hard|animal
parchment|hard|object
parasite|hard|animal
pelican|hard|animal
periscope|hard|object
phoenix|hard|character
plankton|hard|animal
platypus|hard|animal
pluto|hard|space
polygon|hard|math
pomegranate|hard|food
puma|hard|animal
pyramid|hard|object
quartz|hard|object
quokka|hard|animal
quokka|hard|animal
quokka|hard|animal
quokka|hard|animal
quokka|hard|animal
raccoon|hard|animal
rainforest|hard|nature
raven|hard|animal
reindeer|hard|animal
rhombus|hard|math
riffle|hard|object
robber|hard|job
robot|hard|object
rubik|hard|object
saffron|hard|food
sapphire|hard|object
satellite|hard|space
saxophone|hard|object
scarab|hard|animal
scarecrow|hard|object
scavenger|hard|job
schooner|hard|vehicle
sculpture|hard|object
seahorse|hard|animal
serpent|hard|animal
sheriff|hard|job
shrimp|hard|animal
sphinx|hard|character
stalactite|hard|nature
stalagmite|hard|nature
statue|hard|object
stethoscope|hard|object
succulent|hard|nature
swallowtail|hard|animal
swordfish|hard|animal
tarantula|hard|animal
telegraph|hard|object
telescope|hard|object
tesseract|hard|concept
thunder|hard|nature
tornado|hard|nature
toucan|hard|animal
trampoline|hard|object
troll|hard|character
tsunami|hard|nature
tundra|hard|nature
turbine|hard|object
typhoon|hard|nature
unicorn|hard|character
uranium|hard|science
utensil|hard|object
vaccine|hard|science
valkyrie|hard|character
vampire|hard|character
vanguard|hard|job
velociraptor|hard|animal
venom|hard|science
viking|hard|job
villager|hard|job
vineyard|hard|place
virologist|hard|job
volcano|hard|nature
vulture|hard|animal
wasabi|hard|food
warthog|hard|animal
waterfall|hard|nature
werewolf|hard|character
wisteria|hard|nature
wolverine|hard|animal
xylophone|hard|object
zeppelin|hard|vehicle
zephyr|hard|nature
zodiac|hard|concept
zookeeper|hard|job
zucchini|hard|food
